Time,Level
00.01,65
00.16,72
00.31,68
00.46,76
01.01,82
01.16,67
01.31,62
01.46,67
02.01,60
02.16,58
02.31,60
02.46,65
03.01,64
03.16,62
03.31,62
03.46,60
04.01,60
04.16,61
04.31,65
04.46,64
05.01,70
05.16,68
05.31,66
05.46,65
06.01,69
06.16,66
06.31,59
06.46,46
07.01,46
07.16,36
07.31,34
07.46,40
08.01,35
08.16,25
08.31,20
08.46,20
09.01,20
09.16,19
09.31,17
10.01,60
10.16,23
10.31,17
11.01,16
11.31,16
11.46,17
12.01,17
12.16,17
12.31,17
12.46,40
13.01,34
13.16,28
13.31,24
13.46,22
14.01,23
14.16,26
14.31,27
14.46,24
15.01,27
15.16,23
15.31,22
15.46,38
16.01,20
16.46,18
17.01,17
17.16,21
17.31,18
17.46,17
18.01,19
18.16,22
18.31,25
18.46,26
19.01,28
19.16,26
19.31,25
19.46,24
20.01,26
20.16,28
20.31,27
20.46,25
21.01,25
21.16,27
21.31,25
21.40,25
21.41,26
21.42,26
21.43,26
21.44,26
21.45,26
21.46,26
21.47,27
21.48,26
21.49,26
21.50,27
21.51,27
21.52,26
21.53,26
21.54,21
21.55,27
21.58,75
21.59,74
22.00,76
22.01,75
22.02,74
22.03,72
22.04,71
22.05,72
22.06,72
22.07,73
22.08,74
22.09,76
22.10,75
22.11,75
22.12,74
22.13,74
