Time,Level
00.01,82
00.16,89
00.31,87
00.46,74
01.01,89
01.16,98
01.31,94
01.46,88
02.01,81
02.16,80
02.31,80
02.46,82
03.01,84
03.16,74
03.31,62
03.46,62
04.01,64
04.16,66
04.31,71
04.46,77
05.01,80
05.16,84
05.31,79
05.46,81
06.01,79
06.16,76
06.31,83
06.46,80
07.01,80
07.16,79
07.31,76
07.46,74
08.01,74
08.16,74
08.31,83
08.46,75
09.01,69
09.16,67
09.31,69
09.46,66
10.01,69
10.16,70
10.31,70
10.46,69
11.01,71
11.16,101
11.31,101
11.46,93
12.01,87
12.16,95
12.31,108
12.46,107
13.01,109
13.16,96
13.31,88
13.46,91
14.01,102
14.16,106
14.31,97
14.46,92
15.01,98
15.16,98
15.31,102
15.46,87
16.01,90
16.16,85
16.31,84
16.46,101
17.01,92
17.16,62
17.31,76
17.46,95
18.01,95
18.16,94
18.31,92
18.46,96
19.01,100
19.16,88
19.31,77
19.46,85
20.01,94
20.16,86
20.31,73
20.46,72
21.01,79
21.16,83
21.31,82
21.46,88
22.01,94
22.16,92
22.31,92
22.46,82
23.01,88
23.16,91
23.31,98
23.46,103
24.01,85
24.16,65
24.31,81
24.46,92
25.01,94
25.16,70
25.31,71
25.46,81
