Time,Level
00.01,88
00.16,77
00.31,83
00.46,91
01.01,90
01.16,80
01.31,73
01.46,71
02.01,76
02.16,77
02.31,71
02.46,67
03.01,68
03.16,68
03.31,64
03.46,46
04.01,40
04.16,37
04.31,38
04.46,40
05.01,32
05.16,29
05.31,42
05.46,23
06.16,22
06.31,35
06.46,42
07.01,49
07.16,58
07.31,60
07.46,61
08.01,61
08.16,46
08.31,39
08.46,37
09.01,51
09.16,48
09.31,60
09.46,65
10.01,68
10.16,75
10.31,76
10.46,78
11.01,78
11.16,75
11.31,79
11.46,96
12.01,117
12.16,113
12.31,107
12.46,99
13.01,93
13.16,88
13.31,90
13.46,93
14.01,86
14.16,81
14.31,81
14.46,78
15.01,77
15.16,80
15.31,99
15.46,115
16.01,115
16.16,99
16.31,91
16.46,88
17.01,97
17.16,96
17.31,97
17.46,92
18.01,102
18.16,116
18.31,124
18.46,112
19.01,105
19.16,102
19.31,95
19.46,100
20.01,101
20.16,96
20.31,91
20.46,88
21.01,86
21.16,90
21.31,90
21.46,100
22.01,99
22.16,68
22.31,74
22.46,94
23.01,89
23.16,78
23.31,89
23.46,90
24.01,83
24.16,79
24.31,86
24.46,87
25.01,84
25.16,84
25.31,96
25.46,97
